Kernel name,RMSE,MAE,MSE,MAPE,LML,Hyperparameters
RBF,1.989588066598585,1.4549129936576677,3.9584606747514957,0.010921978454524845,13.966364844158647,"{'k1': RBF(length_scale=2.17), 'k2': WhiteKernel(noise_level=0.0452), 'k1__length_scale': 2.170610098364728, 'k1__length_scale_bounds': (0.01, 10000.0), 'k2__noise_level': 0.045206032775052224, 'k2__noise_level_bounds': (1e-10, 10.0)}"
Matern,2.0337491506971888,1.5189234871296915,4.136135607961537,0.01142386933125938,22.315472805990453,"{'k1': Matern(length_scale=3.1, nu=1.5), 'k2': WhiteKernel(noise_level=0.0385), 'k1__length_scale': 3.0997396591467465, 'k1__length_scale_bounds': (0.01, 10000.0), 'k1__nu': 1.5, 'k2__noise_level': 0.03845423027077839, 'k2__noise_level_bounds': (1e-10, 10.0)}"
Rational Quadratic,2.0454843002579164,1.5262630629036997,4.1840060226016185,0.011475206284132388,20.474953508707472,"{'k1': RationalQuadratic(alpha=0.594, length_scale=1.82), 'k2': WhiteKernel(noise_level=0.0393), 'k1__length_scale': 1.815795732194042, 'k1__alpha': 0.5943659805607182, 'k1__length_scale_bounds': (0.01, 10000.0), 'k1__alpha_bounds': (0.01, 10000.0), 'k2__noise_level': 0.039269217126290286, 'k2__noise_level_bounds': (1e-10, 10.0)}"
Combined,2.041223522879237,1.539023385688107,4.166593470355521,0.01157596872086827,31.482622784706336,"{'k1': 4.06**2 * RBF(length_scale=11.9) + WhiteKernel(noise_level=0.00233) + 0.287**2 * RationalQuadratic(alpha=1e+04, length_scale=0.683) + WhiteKernel(noise_level=6.85e-05), 'k2': 0.00334**2 * Matern(length_scale=268, nu=1.5) + WhiteKernel(noise_level=0.257), 'k1__k1': 4.06**2 * RBF(length_scale=11.9) + WhiteKernel(noise_level=0.00233), 'k1__k2': 0.287**2 * RationalQuadratic(alpha=1e+04, length_scale=0.683) + WhiteKernel(noise_level=6.85e-05), 'k1__k1__k1': 4.06**2, 'k1__k1__k2': RBF(length_scale=11.9) + WhiteKernel(noise_level=0.00233), 'k1__k1__k1__constant_value': 16.516246848508793, 'k1__k1__k1__constant_value_bounds': (1e-05, 100000.0), 'k1__k1__k2__k1': RBF(length_scale=11.9), 'k1__k1__k2__k2': WhiteKernel(noise_level=0.00233), 'k1__k1__k2__k1__length_scale': 11.914019058195867, 'k1__k1__k2__k1__length_scale_bounds': (0.01, 10000.0), 'k1__k1__k2__k2__noise_level': 0.0023286754438559113, 'k1__k1__k2__k2__noise_level_bounds': (1e-10, 10.0), 'k1__k2__k1': 0.287**2, 'k1__k2__k2': RationalQuadratic(alpha=1e+04, length_scale=0.683) + WhiteKernel(noise_level=6.85e-05), 'k1__k2__k1__constant_value': 0.08227788510283243, 'k1__k2__k1__constant_value_bounds': (1e-05, 100000.0), 'k1__k2__k2__k1': RationalQuadratic(alpha=1e+04, length_scale=0.683), 'k1__k2__k2__k2': WhiteKernel(noise_level=6.85e-05), 'k1__k2__k2__k1__length_scale': 0.6827415481919696, 'k1__k2__k2__k1__alpha': 10000.00000000001, 'k1__k2__k2__k1__length_scale_bounds': (0.01, 10000.0), 'k1__k2__k2__k1__alpha_bounds': (0.01, 10000.0), 'k1__k2__k2__k2__noise_level': 6.845985652412593e-05, 'k1__k2__k2__k2__noise_level_bounds': (1e-10, 10.0), 'k2__k1': 0.00334**2, 'k2__k2': Matern(length_scale=268, nu=1.5) + WhiteKernel(noise_level=0.257), 'k2__k1__constant_value': 1.1159228074679988e-05, 'k2__k1__constant_value_bounds': (1e-05, 100000.0), 'k2__k2__k1': Matern(length_scale=268, nu=1.5), 'k2__k2__k2': WhiteKernel(noise_level=0.257), 'k2__k2__k1__length_scale': 267.9661131015152, 'k2__k2__k1__length_scale_bounds': (0.01, 10000.0), 'k2__k2__k1__nu': 1.5, 'k2__k2__k2__noise_level': 0.2567185906731447, 'k2__k2__k2__noise_level_bounds': (1e-10, 10.0)}"
